Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","204","Benin","5510","Production","01312","Bananas","2020","2020","tonnes","19813","E","Estimated value"
"QCL","Crops and livestock products","064","Bhutan","5312","Area harvested","01312","Bananas","2020","2020","ha","46","A","Official figure"
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","01312","Bananas","2020","2020","hg/ha","684783","E","Estimated value"
"QCL","Crops and livestock products","064","Bhutan","5510","Production","01312","Bananas","2020","2020","tonnes","3150","A","Official figure"
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5312","Area harvested","01312","Bananas","2020","2020","ha","20010","A","Official figure"
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5419","Yield","01312","Bananas","2020","2020","hg/ha","150506","E","Estimated value"
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01312","Bananas","2020","2020","tonnes","301162","A","Official figure"
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5312","Area harvested","01313","Plantains and cooking bananas","2020","2020","ha","40890","A","Official figure"
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5419","Yield","01313","Plantains and cooking bananas","2020","2020","hg/ha","117655","E","Estimated value"
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01313","Plantains and cooking bananas","2020","2020","tonnes","481093","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01312","Bananas","2020","2020","ha","455004","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01312","Bananas","2020","2020","hg/ha","145874","E","Estimated value"
"QCL","Crops and livestock products","076","Brazil","5510","Production","01312","Bananas","2020","2020","tonnes","6637308","A","Official figure"
"QCL","Crops and livestock products","096","Brunei Darussalam","5312","Area harvested","01312","Bananas","2020","2020","ha","599","I","Imputed value"
"QCL","Crops and livestock products","096","Brunei Darussalam","5419","Yield","01312","Bananas","2020","2020","hg/ha","28664","E","Estimated value"
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01312","Bananas","2020","2020","tonnes","1717","A","Official figure"
"QCL","Crops and livestock products","100","Bulgaria","5312","Area harvested","01312","Bananas","2020","2020","ha","0","A","Official figure"
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","01312","Bananas","2020","2020","tonnes","0","A","Official figure"
"QCL","Crops and livestock products","108","Burundi","5312","Area harvested","01312","Bananas","2020","2020","ha","163559","I","Imputed value"
"QCL","Crops and livestock products","108","Burundi","5419","Yield","01312","Bananas","2020","2020","hg/ha","78262","E","Estimated value"
"QCL","Crops and livestock products","108","Burundi","5510","Production","01312","Bananas","2020","2020","tonnes","1280048","I","Imputed value"
"QCL","Crops and livestock products","108","Burundi","5312","Area harvested","01313","Plantains and cooking bananas","2020","2020","ha","41137","I","Imputed value"
"QCL","Crops and livestock products","108","Burundi","5419","Yield","01313","Plantains and cooking bananas","2020","2020","hg/ha","76548","E","Estimated value"
"QCL","Crops and livestock products","108","Burundi","5510","Production","01313","Plantains and cooking bananas","2020","2020","tonnes","314897","E","Estimated value"
"QCL","Crops and livestock products","132","Cabo Verde","5312","Area harvested","01312","Bananas","2020","2020","ha","250","A","Official figure"
"QCL","Crops and livestock products","132","Cabo Verde","5419","Yield","01312","Bananas","2020","2020","hg/ha","222120","E","Estimated value"
"QCL","Crops and livestock products","132","Cabo Verde","5510","Production","01312","Bananas","2020","2020","tonnes","5553","A","Official figure"
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","01312","Bananas","2020","2020","ha","30042","I","Imputed value"
"QCL","Crops and livestock products","116","Cambodia","5419","Yield","01312","Bananas","2020","2020","hg/ha","46539","E","Estimated value"
"QCL","Crops and livestock products","116","Cambodia","5510","Production","01312","Bananas","2020","2020","tonnes","139811","I","Imputed value"
"QCL","Crops and livestock products","120","Cameroon","5312","Area harvested","01312","Bananas","2020","2020","ha","97960","I","Imputed value"
"QCL","Crops and livestock products","120","Cameroon","5419","Yield","01312","Bananas","2020","2020","hg/ha","123494","E","Estimated value"
"QCL","Crops and livestock products","120","Cameroon","5510","Production","01312","Bananas","2020","2020","tonnes","1209750","I","Imputed value"
"QCL","Crops and livestock products","120","Cameroon","5312","Area harvested","01313","Plantains and cooking bananas","2020","2020","ha","314129","I","Imputed value"
"QCL","Crops and livestock products","120","Cameroon","5419","Yield","01313","Plantains and cooking bananas","2020","2020","hg/ha","144083","E","Estimated value"
"QCL","Crops and livestock products","120","Cameroon","5510","Production","01313","Plantains and cooking bananas","2020","2020","tonnes","4526069","I","Imputed value"
"QCL","Crops and livestock products","140","Central African Republic","5312","Area harvested","01312","Bananas","2020","2020","ha","22750","I","Imputed value"
"QCL","Crops and livestock products","140","Central African Republic","5419","Yield","01312","Bananas","2020","2020","hg/ha","61442","E","Estimated value"
"QCL","Crops and livestock products","140","Central African Republic","5510","Production","01312","Bananas","2020","2020","tonnes","139781","I","Imputed value"
"QCL","Crops and livestock products","140","Central African Republic","5312","Area harvested","01313","Plantains and cooking bananas","2020","2020","ha","30804","I","Imputed value"
"QCL","Crops and livestock products","140","Central African Republic","5419","Yield","01313","Plantains and cooking bananas","2020","2020","hg/ha","28615","E","Estimated value"
"QCL","Crops and livestock products","140","Central African Republic","5510","Production","01313","Plantains and cooking bananas","2020","2020","tonnes","88145","I","Imputed value"
"QCL","Crops and livestock products","159","China","5312","Area harvested","01312","Bananas","2020","2020","ha","353548","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01312","Bananas","2020","2020","hg/ha","335813","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","01312","Bananas","2020","2020","tonnes","11872600","E","Estimated value"
"QCL","Crops and livestock products","156","China, mainland","5312","Area harvested","01312","Bananas","2020","2020","ha","338580","I","Imputed value"
"QCL","Crops and livestock products","156","China, mainland","5419","Yield","01312","Bananas","2020","2020","hg/ha","340038","E","Estimated value"
"QCL","Crops and livestock products","156","China, mainland","5510","Production","01312","Bananas","2020","2020","tonnes","11513000","A","Official figure"
"QCL","Crops and livestock products","158","China, Taiwan Province of","5312","Area harvested","01312","Bananas","2020","2020","ha","14968","A","Official figure"
"QCL","Crops and livestock products","158","China, Taiwan Province of","5419","Yield","01312","Bananas","2020","2020","hg/ha","240246","E","Estimated value"
"QCL","Crops and livestock products","158","China, Taiwan Province of","5510","Production","01312","Bananas","2020","2020","tonnes","359600","A","Official figure"
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01312","Bananas","2020","2020","ha","99417","A","Official figure"
"QCL","Crops and livestock products","170","Colombia","5419","Yield","01312","Bananas","2020","2020","hg/ha","244918","E","Estimated value"
"QCL","Crops and livestock products","170","Colombia","5510","Production","01312","Bananas","2020","2020","tonnes","2434900","A","Official figure"
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01313","Plantains and cooking bananas","2020","2020","ha","283901","A","Official figure"
"QCL","Crops and livestock products","170","Colombia","5419","Yield","01313","Plantains and cooking bananas","2020","2020","hg/ha","87200","E","Estimated value"
"QCL","Crops and livestock products","170","Colombia","5510","Production","01313","Plantains and cooking bananas","2020","2020","tonnes","2475611","A","Official figure"
"QCL","Crops and livestock products","174","Comoros","5312","Area harvested","01312","Bananas","2020","2020","ha","8113","E","Estimated value"
"QCL","Crops and livestock products","174","Comoros","5419","Yield","01312","Bananas","2020","2020","hg/ha","57483","E","Estimated value"
"QCL","Crops and livestock products","174","Comoros","5510","Production","01312","Bananas","2020","2020","tonnes","46636","E","Estimated value"
"QCL","Crops and livestock products","178","Congo","5312","Area harvested","01312","Bananas","2020","2020","ha","12568","E","Estimated value"
"QCL","Crops and livestock products","178","Congo","5419","Yield","01312","Bananas","2020","2020","hg/ha","68434","E","Estimated value"
"QCL","Crops and livestock products","178","Congo","5510","Production","01312","Bananas","2020","2020","tonnes","86008","I","Imputed value"
"QCL","Crops and livestock products","178","Congo","5312","Area harvested","01313","Plantains and cooking bananas","2020","2020","ha","11938","E","Estimated value"
"QCL","Crops and livestock products","178","Congo","5419","Yield","01313","Plantains and cooking bananas","2020","2020","hg/ha","73817","E","Estimated value"
"QCL","Crops and livestock products","178","Congo","5510","Production","01313","Plantains and cooking bananas","2020","2020","tonnes","88123","E","Estimated value"
"QCL","Crops and livestock products","184","Cook Islands","5312","Area harvested","01312","Bananas","2020","2020","ha","5","I","Imputed value"
"QCL","Crops and livestock products","184","Cook Islands","5419","Yield","01312","Bananas","2020","2020","hg/ha","36000","E","Estimated value"
"QCL","Crops and livestock products","184","Cook Islands","5510","Production","01312","Bananas","2020","2020","tonnes","18","I","Imputed value"
"QCL","Crops and livestock products","188","Costa Rica","5312","Area harvested","01312","Bananas","2020","2020","ha","53975","A","Official figure"
"QCL","Crops and livestock products","188","Costa Rica","5419","Yield","01312","Bananas","2020","2020","hg/ha","468499","E","Estimated value"
"QCL","Crops and livestock products","188","Costa Rica","5510","Production","01312","Bananas","2020","2020","tonnes","2528721","A","Official figure"
"QCL","Crops and livestock products","188","Costa Rica","5312","Area harvested","01313","Plantains and cooking bananas","2020","2020","ha","7084","A","Official figure"
"QCL","Crops and livestock products","188","Costa Rica","5419","Yield","01313","Plantains and cooking bananas","2020","2020","hg/ha","119160","E","Estimated value"
"QCL","Crops and livestock products","188","Costa Rica","5510","Production","01313","Plantains and cooking bananas","2020","2020","tonnes","84413","A","Official figure"
"QCL","Crops and livestock products","384","Côte d'Ivoire","5312","Area harvested","01312","Bananas","2020","2020","ha","13990","I","Imputed value"
"QCL","Crops and livestock products","384","Côte d'Ivoire","5419","Yield","01312","Bananas","2020","2020","hg/ha","447449","E","Estimated value"
